subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
pilot6blocks;10;0;0;1;False;3000;True;;8;97.41466202642086;eye;L;-3.0477455854415894;7.355040468648076;0;112.51;7.96;0.8817952000536025;0.8818553000455722;1684235428.9974144;1684235429.0144691;1684235429.7681603;1684235430.2695193;1684235433.2694256;1684235434.1506605;[];[];[]
pilot6blocks;11;0;0;1;False;1000;True;;8;-25.56893674786011;eye;L;7.709929049015045;-3.905260598659515;0;-26.86;8.64;1.832873999956064;1.8329307999229059;1684235434.892359;1684235434.8973806;1684235435.6508324;1684235436.1520755;1684235437.134557;1684235438.9672132;[];[];[]
pilot6blocks;12;0;0;1;False;1000;True;;8;20.38122384329016;eye;L;8.133831858634949;1.9791837528347969;0;13.68;8.37;0.8165939999744296;0.8166427999967709;1684235439.6392994;1684235439.6464176;1684235440.4025276;1684235440.9028854;1684235441.8835447;1684235442.6997747;[];[];[]
pilot6blocks;13;0;0;1;False;3000;True;;8;62.82479669812839;eye;L;5.1782368421554565;6.03156682178378;0;49.35;7.95;0.9654342000139877;0.9654802000150084;1684235443.499024;1684235443.5138109;1684235444.268321;1684235444.7693121;1684235447.7669277;1684235448.7316248;[];[];[]
pilot6blocks;14;0;0;1;False;1000;True;;8;131.10007975980537;eye;L;-4.96429169178009;5.241832907125353;0;133.44;7.22;1.4183874001028016;1.418431399972178;1684235449.424264;1684235449.4293838;1684235450.1841865;1684235450.6834524;1684235451.66502;1684235453.083344;[];[];[]
pilot6blocks;15;0;0;1;False;3000;True;;8;108.70512454735693;eye;L;-3.688154101371765;6.627510384097695;0;119.1;7.58;1.4328018999658525;1.4328777000773698;1684235453.9359121;1684235453.9459133;1684235454.7009418;1684235455.2013752;1684235458.2010152;1684235459.633749;[];[];[]
pilot6blocks;16;0;0;1;False;3000;True;;8;-10.495694456346957;eye;L;8.207642912864685;-4.025957255065441;0;-26.13;9.14;1.648481099982746;1.6485634000273421;1684235460.4828475;1684235460.4958737;1684235461.2502656;1684235461.75254;1684235464.7509713;1684235466.3987737;[];[];[]
pilot6blocks;17;0;0;1;False;1000;True;;8;-2.339477987355264;eye;L;7.651634216308594;-0.3830411463975906;0;-2.87;7.66;0.832816099980846;0.8328992000315338;1684235467.339093;1684235467.345117;1684235468.1007347;1684235468.6026955;1684235469.5833783;1684235470.4158084;[];[];[]
pilot6blocks;18;0;0;1;False;1000;True;;8;-94.5024076857996;eye;L;-0.5509872436523438;-7.23616307079792;0;-94.35;7.26;1.331030200002715;1.331475600018166;1684235471.1725178;1684235471.1785188;1684235471.9341342;1684235472.4330235;1684235473.4171605;1684235474.7486005;[];[];[]
pilot6blocks;19;0;0;1;False;3000;True;;8;-112.43222313536664;eye;L;-2.3664887845516205;-6.756592963635921;0;-109.3;7.16;1.54913379997015;1.5491782000754029;1684235475.465051;1684235475.4788516;1684235476.232548;1684235476.7334604;1684235479.7321365;1684235481.281517;[];[];[]
pilot6blocks;20;0;0;1;False;3000;True;;8;-149.95295031068736;eye;L;-6.145997315645218;-4.817537216842174;0;-141.91;7.81;2.2996191999409348;2.299682400072925;1684235481.9904315;1684235481.9955673;1684235482.748142;1684235483.2509043;1684235486.2482297;1684235488.5479937;[];[];[]
pilot6blocks;21;0;0;1;False;1000;True;;8;-57.58819573543441;eye;L;4.638854205608368;-5.212979261577129;0;-48.34;6.98;0.981027300003916;0.9811174001079053;1684235489.26902;1684235489.2775972;1684235490.0319407;1684235490.5333624;1684235491.5158617;1684235492.4972148;[];[];[]
pilot6blocks;22;0;0;1;False;3000;True;;8;27.76021046523904;eye;L;7.540816843509674;2.5275579191744324;0;18.53;7.95;1.7484342999523506;1.7485086000524461;1684235493.1810327;1684235493.1945648;1684235493.9489772;1684235494.4491837;1684235497.4475503;1684235499.19647;[];[];[]
pilot6blocks;23;0;0;1;False;1000;True;;8;47.000105572196965;eye;L;4.893198609352112;6.047687233239412;0;51.02;7.78;1.4005436999723315;1.4006140000419691;1684235499.9035125;1684235499.9106336;1684235500.6651173;1684235501.165197;1684235502.147546;1684235503.5478346;[];[];[]
pilot6blocks;24;0;0;1;False;3000;True;;8;111.09809039313676;eye;L;-3.2413036823272705;6.088180981948971;0;118.03;6.9;1.0170896999770775;1.017129199928604;1684235504.3233385;1684235504.3264608;1684235505.0819674;1684235505.584241;1684235508.5791345;1684235509.596351;[];[];[]
pilot6blocks;25;0;0;1;False;1000;True;;8;50.369218324024004;eye;L;5.0311413407325745;5.984054312109947;0;49.94;7.82;0.8990957000060007;0.8991790000582114;1684235510.4125998;1684235510.4270682;1684235511.1823735;1684235511.6823459;1684235512.6641545;1684235513.5638244;[];[];[]
pilot6blocks;26;0;0;1;False;1000;True;;8;-160.73801955417557;eye;L;-7.0266377329826355;-2.5288932502269743;0;-160.21;7.47;1.3146237999899313;1.3147188000148162;1684235514.4001868;1684235514.4103434;1684235515.164445;1684235515.666316;1684235516.6483328;1684235517.96304;[];[];[]
pilot6blocks;27;0;0;1;False;3000;True;;8;-93.32926911007058;eye;L;-1.2146768867969513;-7.550811441242694;0;-99.14;7.65;1.1332437000237405;1.1333134999731556;1684235518.768354;1684235518.776424;1684235519.5307145;1684235520.0310152;1684235523.0307443;1684235524.164347;[];[];[]
pilot6blocks;28;0;0;1;False;3000;True;;8;-99.3068982896792;eye;L;-0.6645446717739105;-7.846980746090412;0;-94.84;7.88;0.9645318000111729;0.964585900073871;1684235524.9003108;1684235524.9101686;1684235525.662859;1684235526.1637783;1684235529.1639168;1684235530.1285605;[];[];[]
pilot6blocks;29;0;0;1;False;1000;True;;8;153.76686979073298;eye;L;-6.640122324228287;1.8415504217147827;0;164.5;6.89;1.6510789999738336;1.6511397999711335;1684235530.9486568;1684235530.9586556;1684235531.7128708;1684235532.213813;1684235533.1948946;1684235534.8463454;[];[];[]
pilot6blocks;30;0;0;1;False;3000;True;;8;-29.398249428600124;eye;L;6.743058145046234;-3.660009102523327;0;-28.49;7.67;2.184104699990712;2.1841558000305668;1684235535.7422285;1684235535.758227;1684235536.5125613;1684235537.0143933;1684235540.0117536;1684235542.1957686;[];[];[]
pilot6blocks;31;0;0;1;False;1000;True;;8;-36.2925489260112;eye;L;6.917889416217804;-4.956174646317958;0;-35.62;8.51;1.384591400041245;1.3846465999959037;1684235542.9054542;1684235542.9257016;1684235543.67857;1684235544.1795664;1684235545.1612024;1684235546.5459554;[];[];[]
pilot6blocks;32;0;0;1;False;1000;True;;8;-52.26412816874994;eye;L;4.371619820594788;-5.86831574589014;0;-53.32;7.32;0.7334369000745937;0.7334823999553919;1684235547.2456079;1684235547.2578607;1684235548.0123856;1684235548.512929;1684235549.4945164;1684235550.2278912;[];[];[]
