subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
testtt;8;0;0;1;False;3000;True;;8;-52.02503907523795;eye;L;3.9756407737731934;-5.558806367218494;0;-54.43;6.83;0.7998345999512821;0.7999208000255749;1684226058.8328972;1684226058.8496048;1684226059.6025271;1684226060.104328;1684226063.10278;1684226063.9032426;[];[];[]
testtt;9;0;0;1;False;1000;True;;8;-112.76902040500538;eye;L;-2.2851500809192657;-7.148841811716556;0;-107.73;7.51;1.0026953000342473;1.0027460000710562;1684226064.7275774;1684226064.7325795;1684226065.4848626;1684226065.986463;1684226066.9673824;1684226067.970745;[];[];[]
testtt;10;0;0;1;False;1000;True;;8;83.26435951226713;eye;L;0.9827064871788025;8.202900994196533;0;83.17;8.26;0.6834840000374243;0.6835627000546083;1684226068.7536533;1684226068.7654958;1684226069.5191033;1684226070.020533;1684226071.0027187;1684226071.6855278;[];[];[]
testtt;11;0;0;1;False;3000;True;;8;-40.40474393643324;eye;L;5.128373384475708;-3.9037957370281218;0;-37.28;6.45;1.0484037999995053;1.048513300018385;1684226072.438528;1684226072.4488544;1684226073.2030776;1684226073.705037;1684226076.7025654;1684226077.7513049;[];[];[]
testtt;12;0;0;1;False;1000;True;;8;-53.0800058348295;eye;L;4.874623537063599;-4.472654329240322;0;-42.54;6.62;0.83344550000038;0.833538799895905;1684226078.5871558;1684226078.598158;1684226079.3521209;1684226079.8532073;1684226080.835925;1684226081.6694186;[];[];[]
testtt;13;0;0;1;False;3000;True;;8;53.41057073563548;eye;L;5.4575775265693665;6.854637999460101;0;51.47;8.76;0.6813033000798896;0.6813750000437722;1684226082.3467412;1684226082.3650944;1684226083.1186726;1684226083.6194751;1684226086.6200736;1684226087.301319;[];[];[]
testtt;14;0;0;1;False;3000;True;;8;-174.0949266358568;eye;L;-6.9278756976127625;-2.1307156205177304;0;-162.9;7.25;1.5156232999870554;1.5156923000467941;1684226087.9760573;1684226087.9823294;1684226088.7354698;1684226089.236406;1684226092.2353203;1684226093.7508383;[];[];[]
testtt;15;0;0;1;False;1000;True;;8;15.458233628525685;eye;L;9.282294988632202;3.435901346057653;0;20.31;9.9;0.9332446999615058;0.9333059000782669;1684226094.4716845;1684226094.480946;1684226095.2361522;1684226095.7366993;1684226096.7166758;1684226097.6502078;[];[];[]
testtt;16;0;0;1;False;1000;True;;8;126.43865121766083;eye;L;-4.282205909490585;6.696491247788071;0;122.6;7.95;0.9327973000472412;0.9329308999003842;1684226098.3258278;1684226098.3310869;1684226099.0850224;1684226099.5853984;1684226100.5669186;1684226101.5001323;[];[];[]
testtt;17;0;0;1;False;3000;True;;8;46.718696796699284;eye;L;5.286434769630432;6.784785404428839;0;52.08;8.6;0.715229699970223;0.7152882000664249;1684226102.1964107;1684226102.214183;1684226102.9688437;1684226103.469479;1684226106.4674666;1684226107.1826344;[];[];[]
testtt;18;0;0;1;False;3000;True;;8;13.695047363370735;eye;L;7.3685325384140015;2.6472936540842054;0;19.76;7.83;0.6660991000244394;0.6661436000140384;1684226108.0124433;1684226108.0306644;1684226108.7842557;1684226109.2862482;1684226112.2840617;1684226112.9500463;[];[];[]
testtt;19;0;0;1;False;1000;True;;8;116.45945404326115;eye;L;-3.1580284237861633;8.146773676760494;0;111.19;8.74;0.8498210000107065;0.8505273000337183;1684226113.7808256;1684226113.7972777;1684226114.55106;1684226115.051483;1684226116.0325425;1684226116.8827832;[];[];[]
testtt;20;0;0;1;False;3000;False;;8;135.54146595328734;eye;L;nan;nan;0;nan;nan;0.0012901000445708632;0.0013278999831527472;1684226117.57942;1684226117.5979161;1684226118.3323748;1684226118.3323748;1684226118.3323748;1684226118.3345504;[];[];[]
testtt;20;0;0;1;False;3000;True;;8;-35.1317923239017;eye;L;6.187146842479706;-3.9034150242805477;0;-32.25;7.32;0.8324826998868957;0.8325982999522239;1684226118.9020207;1684226118.912743;1684226119.6667356;1684226120.1677537;1684226123.1665583;1684226123.9988918;[];[];[]
testtt;21;0;0;1;False;1000;True;;8;131.962556711884;eye;L;-4.525866985321045;6.811957831308245;0;123.6;8.18;1.1662539999233559;1.1664267000742257;1684226124.724236;1684226124.7289128;1684226125.4827993;1684226125.9852672;1684226126.966982;1684226128.1327734;[];[];[]
testtt;22;0;0;1;False;1000;True;;8;0.28810381005029395;eye;L;8.354337513446808;0.33823365122079846;0;2.32;8.36;0.7187465999741107;0.7188127000117674;1684226128.8961723;1684226128.914511;1684226129.6673653;1684226130.167509;1684226131.1496792;1684226131.8686807;[];[];[]
testtt;23;0;0;1;False;3000;True;;8;-104.94189010353004;eye;L;-1.9119057357311249;-6.577011895179748;0;-106.21;6.85;1.8155792000470683;1.8156550999265164;1684226132.5748744;1684226132.5797987;1684226133.3344243;1684226133.835382;1684226136.8329618;1684226138.6488357;[];[];[]
testtt;24;0;0;1;False;1000;True;;8;-22.82547757537441;eye;L;7.6561890840530396;-2.414443056285381;0;-17.5;8.03;0.750409199972637;0.7504827999509871;1684226139.4524446;1684226139.4616933;1684226140.2157962;1684226140.7168143;1684226141.6987286;1684226142.4496717;[];[];[]
testtt;25;0;0;1;False;3000;True;;8;52.332055163101046;eye;L;5.421016275882721;5.391994933784008;0;44.85;7.65;0.6321934999432415;0.6322785000083968;1684226143.2549014;1684226143.2625322;1684226144.0163176;1684226144.5175939;1684226147.5168338;1684226148.1497207;[];[];[]
testtt;26;0;0;1;False;3000;True;;8;-43.43300302912578;eye;L;6.1770541071891785;-4.923026163876056;0;-38.55;7.9;1.132414699997753;1.1325053999898955;1684226149.0325778;1684226149.0445855;1684226149.7999487;1684226150.2999232;1684226153.2986906;1684226154.4316406;[];[];[]
testtt;27;0;0;1;False;1000;True;;8;109.41472685860012;eye;L;-1.7526240944862366;7.40728352330625;0;103.31;7.61;0.6174592999741435;0.6175020000664517;1684226155.260546;1684226155.2772663;1684226156.0335484;1684226156.5340457;1684226157.5139146;1684226158.1312382;[];[];[]
testtt;28;0;0;1;False;1000;True;;8;20.91990424988651;eye;L;6.652704834938049;2.7905696019530293;0;22.76;7.21;0.4661056000040844;0.4661562000401318;1684226158.9711766;1684226158.9773295;1684226159.730244;1684226160.2334905;1684226161.2137332;1684226161.6801567;[];[];[]
testtt;29;0;0;1;False;3000;True;;8;146.15524061287047;eye;L;-5.4935798943042755;5.24609480984509;0;136.32;7.6;0.6319228999782354;0.631981199956499;1684226162.5009727;1684226162.5113938;1684226163.26361;1684226163.7658918;1684226166.7642288;1684226167.3964276;[];[];[]
testtt;30;0;0;1;False;3000;True;;8;72.56616637305623;eye;L;2.480716645717621;8.769459788314997;0;74.2;9.11;0.6664854999398813;0.6666177000151947;1684226168.1923282;1684226168.2109208;1684226168.9652886;1684226169.4667356;1684226172.4643946;1684226173.1310139;[];[];[]
testtt;31;0;0;1;False;1000;True;;8;-50.96909768812069;eye;L;5.9804858565330505;-4.4534705668687815;0;-36.67;7.46;1.0328669000882655;1.032926099956967;1684226174.0137796;1684226174.026828;1684226174.780618;1684226175.2807093;1684226176.2631078;1684226177.2959213;[];[];[]
testtt;32;0;0;1;False;1000;True;;8;-24.79663554481903;eye;L;7.901000201702118;-3.526531465351581;0;-24.05;8.65;0.6994657999603078;0.699531999998726;1684226177.9782364;1684226177.9932387;1684226178.747442;1684226179.2482965;1684226180.2306755;1684226180.9296913;[];[];[]
testtt;33;0;0;1;False;3000;True;;8;-48.83594259351741;eye;L;6.703419923782349;-4.466973893344402;0;-33.68;8.06;0.7491691999603063;0.749241599929519;1684226181.7390695;1684226181.7423127;1684226182.4964697;1684226182.9981594;1684226185.9963484;1684226186.745728;[];[];[]
testtt;34;0;0;1;False;3000;True;;8;55.28285281776453;eye;L;5.885499536991119;5.837411987408995;0;44.76;8.29;1.2676896000048146;1.2677452999632806;1684226187.5256667;1684226187.5439296;1684226188.2970247;1684226188.7972155;1684226191.7949398;1684226193.062443;[];[];[]
